OBJECTID,CODIGO,COMUNA,BARRIO,NOMBRE_BARRIO,SECTOR,INDICADOR_UR,NOMBRE_COMUNA,SHAPE__Area,SHAPE__Length
338,0703,07,03,San Germán,2,U,ROBLEDO,436003.850097656,3847.98437349863
339,0408,04,08,San Pedro,1,U,ARANJUEZ,249156.670410156,2260.24016079888
340,0509,05,09,Girardot,2,U,CASTILLA,510959.064941406,3665.50556076581
341,1403,14,03,Villa Carlota,5,U,EL POBLADO,957110.829101563,4018.0107923417
342,0911,09,11,Gerona,3,U,BUENOS AIRES,253276.869628906,2282.184715178
343,1618,16,18,Nueva Villa de Aburrá,6,U,BELEN,181048.468261719,2241.73764731696
344,1014,10,14,Las Palmas,3,U,LA CANDELARIA,233621.568847656,2148.63509000028
345,6088,60,88,Suburbano El Llano,7,R,SAN CRISTOBAL,631710.761230469,4188.00109886546
346,0717,07,17,Robledo,2,U,ROBLEDO,488422.493652344,3793.9555016083
347,0308,03,08,Manrique Oriental,1,U,MANRIQUE,398433.748046875,3181.30246402389
348,8006,80,06,El Salado ,8,R,SAN ANTONIO DE PRADO,6686468.80322266,19875.7446079515
349,1609,16,09,La Hondonada,6,U,BELEN,468519.675292969,4033.44714884144
